Brown Stained Glass,mcl_core:glass_brown
Recovery Compass,mcl_compass:13_recovery
Preview Banner,mcl_banners:banner_preview_triangles_bottom_yellow
Recovery Compass,mcl_compass:14_recovery
Recovery Compass,mcl_compass:15_recovery
Powered Redstone Trail (10001000),mesecons:wire_10001000_on
Redstone Trail (10001000),mesecons:wire_10001000_off
Preview Banner,mcl_banners:banner_preview_triangles_top_yellow
Recovery Compass,mcl_compass:17_recovery
Recovery Compass,mcl_compass:18_recovery
Recovery Compass,mcl_compass:19_recovery
Preview Banner,mcl_banners:banner_preview_globe_yellow
Recovery Compass,mcl_compass:20_recovery
Powered Redstone Trail (11001000),mesecons:wire_11001000_on
Redstone Trail (11001000),mesecons:wire_11001000_off
Recovery Compass,mcl_compass:22_recovery
Preview Banner,mcl_banners:banner_preview_piglin_yellow
Recovery Compass,mcl_compass:23_recovery
Preview Banner,mcl_banners:banner_preview_half_vertical_right_green
Recovery Compass,mcl_compass:24_recovery
Recovery Compass,mcl_compass:25_recovery
Light Blue Stained Glass,mcl_core:glass_light_blue
Recovery Compass,mcl_compass:26_recovery
Powered Redstone Trail (10101000),mesecons:wire_10101000_on
Redstone Trail (10101000),mesecons:wire_10101000_off
Recovery Compass,mcl_compass:28_recovery
Preview Banner,mcl_banners:banner_preview_flow_yellow
Recovery Compass,mcl_compass:29_recovery
Preview Banner,mcl_banners:banner_preview_rhombus_green
Lime Stained Glass,mcl_core:glass_lime
Recovery Compass,mcl_compass:31_recovery
Powered Redstone Trail (11101000),mesecons:wire_11101000_on
Redstone Trail (11101000),mesecons:wire_11101000_off
Preview Banner,mcl_banners:banner_preview_border_pink
Purple Stained Glass,mcl_core:glass_purple
Preview Banner,mcl_banners:banner_preview_small_stripes_green
Preview Banner,mcl_banners:banner_preview_bricks_pink
Powered Redstone Trail (10011000),mesecons:wire_10011000_on
Redstone Trail (10011000),mesecons:wire_10011000_off
Preview Banner,mcl_banners:banner_preview_square_bottom_left_green
Cyan Stained Glass,mcl_core:glass_cyan
Preview Banner,mcl_banners:banner_preview_circle_pink
Preview Banner,mcl_banners:banner_preview_square_bottom_right_green
Preview Banner,mcl_banners:banner_preview_creeper_pink
Powered Redstone Trail (11011000),mesecons:wire_11011000_on
Redstone Trail (11011000),mesecons:wire_11011000_off
Preview Banner,mcl_banners:banner_preview_square_top_left_green
Sea Lantern,mcl_ocean:sea_lantern
Preview Banner,mcl_banners:banner_preview_square_top_right_green
Powered Redstone Trail (10111000),mesecons:wire_10111000_on
Redstone Trail (10111000),mesecons:wire_10111000_off
Preview Banner,mcl_banners:banner_preview_stripe_bottom_green
Name Tag,mcl_mobitems:nametag
Chest Bamboo Raft,mcl_boats:boat_bamboo_chest
Bamboo Raft,mcl_boats:boat_bamboo
Powered Redstone Trail (11111000),mesecons:wire_11111000_on
Redstone Trail (11111000),mesecons:wire_11111000_off
nil,mesecons_button:button_bamboo_on
Bamboo Button,mesecons_button:button_bamboo_off
Powered Redstone Trail (10110011),mesecons:wire_10110011_on
Mud Bricks,mcl_mud:mud_bricks
Powered Redstone Trail (01110011),mesecons:wire_01110011_on
Preview Banner,mcl_banners:banner_preview_stripe_downleft_green
Bamboo Sign,mcl_signs:standing_sign_bamboo
Crimson Fungus Flower Pot,mcl_flowerpots:flower_pot_crimson_fungus
Bamboo Bark Slab,mcl_stairs:slab_bamboo_bark_double
Powered Redstone Trail (01000100),mesecons:wire_01000100_on
Redstone Trail (01000100),mesecons:wire_01000100_off
Preview Banner,mcl_banners:banner_preview_stripe_downright_green
Bamboo Bark Slab,mcl_stairs:slab_bamboo_bark_top
Crimson Roots Flower Pot,mcl_flowerpots:flower_pot_crimson_roots
Preview Banner,mcl_banners:banner_preview_stripe_right_white
Bamboo Bark Slab,mcl_stairs:slab_bamboo_bark
Bamboo Slab,mcl_stairs:slab_bamboo_double
Preview Banner,mcl_banners:banner_preview_stripe_left_green
Bamboo Slab,mcl_stairs:slab_bamboo_top
Exposed Cut Copper Stairs,mcl_stairs:stair_copper_exposed_cut
Powered Redstone Trail (11000100),mesecons:wire_11000100_on
Redstone Trail (11000100),mesecons:wire_11000100_off
Lodestone Compass,mcl_compass:25_lodestone
Preview Banner,mcl_banners:banner_preview_stripe_middle_green
Lapis Lazuli,mcl_core:lapis
Cornflower,mcl_flowers:cornflower
Light Blue Dye,mcl_dyes:light_blue
Light Grey Dye,mcl_dyes:silver
Smooth Quartz Stairs,mcl_stairs:stair_quartz_smooth
Preview Banner,mcl_banners:banner_preview_stripe_right_green
Bamboo Bark Stairs,mcl_stairs:stair_bamboo_bark
Powered Redstone Trail (01100100),mesecons:wire_01100100_on
Redstone Trail (01100100),mesecons:wire_01100100_off
Bamboo Stairs,mcl_stairs:stair_bamboo_inner
Bamboo Stairs,mcl_stairs:stair_bamboo_outer
Preview Banner,mcl_banners:banner_preview_stripe_top_green
nil,mcl_mushrooms:brown_mushroom_block_cap_001011
Recovery Compass,mcl_compass:2_recovery
nil,mcl_mushrooms:red_mushroom_block_cap_010010
nil,mcl_doors:door_bamboo_t_2
Preview Banner,mcl_banners:banner_preview_diagonal_up_right_orange
Preview Banner,mcl_banners:banner_preview_triangle_bottom_green
nil,mcl_doors:door_bamboo_b_2
Recovery Compass,mcl_compass:12_recovery
nil,mcl_doors:door_bamboo_b_1
Glow Item Frame,mcl_itemframes:glow_frame
Preview Banner,mcl_banners:banner_preview_diagonal_right_orange
